iter	AUC	Logloss
660	0.8486074805	0.6107523052
661	0.8489071131	0.6106214536
662	0.8493074775	0.6104758949
663	0.8495816588	0.6103347171
664	0.8498426676	0.6102167995
665	0.8501708508	0.6100551777
666	0.850482285	0.6099090454
667	0.8506565094	0.6097854431
668	0.8508921862	0.6096502629
669	0.8512830138	0.6094786799
670	0.8516332507	0.6093187271
671	0.8520416617	0.6091701435
672	0.8523894548	0.6090249499
673	0.8526655436	0.6089021299
674	0.852853924	0.6087824912
675	0.853028059	0.6086793329
676	0.8533236384	0.6085221963
677	0.853454113	0.6084028183
678	0.8536841869	0.608262162
679	0.8539893627	0.6081215579
680	0.8543183208	0.6079995723
681	0.8546310663	0.6078430616
682	0.855012238	0.6076816484
683	0.8552114964	0.6075408879
684	0.8554451466	0.6074218228
685	0.8557156324	0.6072696929
686	0.8559652865	0.607135295
687	0.8562789559	0.6070000104
688	0.8565975428	0.6068372413
689	0.8567124605	0.6067233395
690	0.8569090664	0.6065774157
691	0.8572126925	0.6064199141
692	0.8575496078	0.6062748248
693	0.8578229547	0.6061480411
694	0.8581001163	0.6060448306
695	0.858315587	0.6059369785
696	0.8585929871	0.6058048753
697	0.8588308096	0.6056623936
698	0.8589631617	0.605513445
699	0.859351933	0.6053587596
700	0.8594065905	0.6052576873
701	0.8596532941	0.6051345023
702	0.8600670099	0.6049770006
703	0.860208869	0.6048906354
704	0.8605731726	0.6047419997
705	0.8608192801	0.6046283586
706	0.8609836102	0.6045297376
707	0.8612958193	0.6043864736
708	0.8614448905	0.6042820636
709	0.8616642952	0.6041604431
710	0.862033546	0.6039971525
711	0.8623304367	0.6038761056
712	0.8625788689	0.6037271049
713	0.8629387617	0.6035696554
714	0.8632488847	0.603418725
715	0.8634410501	0.6032958528
716	0.8636876941	0.603160151
717	0.8639059067	0.6030411903
718	0.8641557097	0.6029058015
719	0.8643838167	0.6028079105
720	0.8646474481	0.602677059
721	0.8648747504	0.6025570031
722	0.8652547598	0.6024206233
723	0.8654536605	0.6023091726
724	0.8657304645	0.602160537
725	0.8659187555	0.6020363088
726	0.866156131	0.601903319
727	0.866353035	0.6017887913
728	0.8666539192	0.6016321241
729	0.8669375777	0.6014916242
730	0.8671793342	0.6013660923
731	0.8673236966	0.6012483311
732	0.8675990701	0.6011047021
733	0.8676850796	0.6010048294
734	0.8678687811	0.6009395861
735	0.8682203889	0.600782606
736	0.8686134219	0.6006443487
737	0.8689764142	0.6004884638
738	0.8691921234	0.6003737275
739	0.8694265485	0.60024903
740	0.8696517348	0.6001393525
741	0.8698821068	0.6000136641
742	0.8703197241	0.5998354055
743	0.8705222607	0.5997236941
744	0.8707617819	0.5995937813
745	0.8710262179	0.5994561499
746	0.8713079691	0.5993119472
747	0.8716526628	0.5991628421
748	0.8718870282	0.599025993
749	0.8720880747	0.5989044246
750	0.8722789288	0.5987775889
751	0.8722667098	0.5987004026
752	0.8724313378	0.5985763309
753	0.8725948334	0.598451477
754	0.8727006912	0.5983626085
755	0.8729041219	0.598230401
756	0.87314713	0.5980866676
757	0.873380959	0.5979637955
758	0.8736114502	0.5978445219
759	0.8738408685	0.5977431367
760	0.873919487	0.5976650117
761	0.8741384149	0.5975338994
762	0.8744721413	0.5973763455
763	0.8747504354	0.5972429907
764	0.8750322461	0.5971077061
765	0.8753336072	0.5969538551
766	0.8755617738	0.5968392231
767	0.8757991791	0.5966974195
768	0.87607342	0.5965672459
769	0.8763362169	0.5964380633
770	0.8765197396	0.5963044476
771	0.8767514825	0.5961617573
772	0.8769240379	0.5960468646
773	0.877081722	0.5959594042
774	0.8772290349	0.5958602616
775	0.8773348331	0.5957411966
776	0.8775874972	0.5955961073
777	0.8779885769	0.5954443425
778	0.8782823682	0.5952818341
779	0.8785976171	0.5951386223
780	0.8789594173	0.5949863881
781	0.8791584671	0.5948851072
782	0.8794608712	0.5947263017
783	0.8795824647	0.5946350864
784	0.8799232841	0.5944949516
785	0.8800883293	0.5943523657
786	0.88027668	0.5942164553
787	0.8804885745	0.5940653684
788	0.8807342052	0.5939163677
789	0.8809427619	0.5938026744
790	0.8811452389	0.5936901285
791	0.8812568188	0.5935687688
792	0.8813911676	0.5934433411
793	0.8816145658	0.593302737
794	0.8817995191	0.5931680783
795	0.8820615411	0.5930293516
796	0.8822294474	0.5929229076
797	0.8824977279	0.5927834509
798	0.8826946616	0.5926368491
799	0.8829465806	0.5924881613
800	0.8830743134	0.5923841685
801	0.8833035231	0.5922545686
802	0.8833947778	0.5921482289
803	0.8834818602	0.5920723465
804	0.8836637735	0.5919735168
805	0.883947134	0.5918188314
806	0.8841494322	0.5917127003
807	0.884423852	0.5915738693
808	0.8845840693	0.5914482852
809	0.8847844601	0.591340746
810	0.8847622871	0.5912064524
811	0.8850254416	0.5910491071
812	0.8851957321	0.5909612817
813	0.8853133917	0.5908704836
814	0.8855298758	0.5907284191
815	0.8856514692	0.5906204627
816	0.8858745694	0.5904975384
817	0.8859629929	0.5903895298
818	0.8861352205	0.590274637
819	0.8862783909	0.5901740863
820	0.8864276409	0.5900473027
821	0.8866718411	0.5899121746
822	0.8868344426	0.589801454
823	0.887075007	0.5896782689
824	0.8873765469	0.5895526327
825	0.8875938058	0.5894103075
826	0.8877646327	0.5892669914
827	0.8878875971	0.5891518379
828	0.8880886734	0.589019526
829	0.8883775473	0.5888750626
830	0.8885546923	0.5887491134
831	0.8887699246	0.58861216
832	0.8888644874	0.5885190149
833	0.8891011477	0.5884036528
834	0.8894457817	0.5882337387
835	0.8896434903	0.5881078417
836	0.8898996115	0.5879601969
837	0.8900957704	0.587825121
838	0.89029181	0.5876897321
839	0.8903452754	0.587620786
840	0.8904749155	0.5874961928
841	0.890673697	0.587386046
842	0.8909694552	0.5872413218
843	0.8911083341	0.5871252816
844	0.8913540244	0.5869856162
845	0.891554296	0.5868509054
846	0.8918536305	0.5867025826
847	0.8920414448	0.5865679761
848	0.8922644854	0.5864275805
849	0.892334938	0.5863006926
850	0.8924738169	0.5862057222
851	0.8926033378	0.5861091872
852	0.8927974105	0.5859810998
853	0.8929056525	0.5858695448
854	0.893099606	0.585744065
855	0.8932295442	0.5856537884
856	0.8934519291	0.5855261182
857	0.8935848475	0.5854268712
858	0.8937544823	0.5853351865
859	0.8939303756	0.5852120536
860	0.894133687	0.5850895465
861	0.8943591118	0.5849429969
862	0.8946952224	0.5847896675
863	0.8948820829	0.5846740446
