iter	Passed	Remaining
1263	23126	293368
1264	23145	293352
1265	23163	293331
1266	23181	293313
1267	23201	293307
1268	23220	293303
1269	23237	293266
1270	23254	293237
1271	23273	293220
1272	23291	293201
1273	23308	293172
1274	23327	293154
1275	23344	293124
1276	23361	293087
1277	23379	293062
1278	23396	293036
1279	23416	293039
1280	23434	293016
1281	23452	292986
1282	23469	292955
1283	23490	292968
1284	23508	292948
1285	23525	292917
1286	23543	292888
1287	23561	292869
1288	23580	292857
1289	23600	292861
1290	23617	292836
1291	23635	292805
1292	23652	292775
1293	23671	292761
1294	23689	292745
1295	23709	292740
1296	23728	292736
1297	23745	292702
1298	23764	292691
1299	23784	292695
1300	23802	292679
1301	23820	292655
1302	23838	292624
1303	23856	292606
1304	23874	292581
1305	23891	292553
1306	23909	292530
1307	23926	292497
1308	23944	292472
1309	23963	292470
1310	23981	292444
1311	24000	292433
1312	24018	292406
1313	24036	292386
1314	24054	292368
1315	24073	292356
1316	24092	292344
1317	24109	292318
1318	24127	292297
1319	24144	292261
1320	24164	292264
1321	24183	292253
1322	24202	292241
1323	24220	292218
1324	24237	292189
1325	24256	292173
1326	24276	292172
1327	24295	292167
1328	24313	292145
1329	24331	292125
1330	24349	292101
1331	24367	292083
1332	24387	292078
1333	24405	292065
1334	24422	292032
1335	24439	291990
1336	24457	291974
1337	24476	291964
1338	24495	291955
1339	24513	291925
1340	24531	291903
1341	24548	291874
1342	24566	291848
1343	24584	291828
1344	24601	291800
1345	24620	291782
1346	24638	291761
1347	24657	291756
1348	24678	291770
1349	24698	291771
1350	24716	291744
1351	24734	291728
1352	24752	291704
1353	24770	291680
1354	24788	291666
1355	24806	291642
1356	24825	291628
1357	24842	291600
1358	24861	291590
1359	24878	291557
1360	24896	291536
1361	24916	291530
1362	24933	291499
1363	24950	291462
1364	24968	291441
1365	24986	291425
1366	25005	291413
1367	25024	291399
1368	25041	291375
1369	25060	291362
1370	25080	291366
1371	25100	291366
1372	25118	291342
1373	25137	291333
1374	25156	291320
1375	25176	291323
1376	25195	291312
1377	25214	291304
1378	25233	291291
1379	25251	291268
1380	25270	291261
1381	25289	291250
1382	25307	291224
1383	25324	291198
1384	25343	291187
1385	25363	291191
1386	25382	291173
1387	25402	291173
1388	25421	291161
1389	25437	291124
1390	25454	291085
1391	25472	291069
1392	25491	291057
1393	25509	291037
1394	25528	291022
1395	25546	290999
1396	25563	290971
1397	25581	290950
1398	25600	290935
1399	25618	290915
1400	25635	290881
1401	25652	290852
1402	25671	290843
1403	25692	290851
1404	25710	290835
1405	25728	290811
1406	25746	290783
1407	25763	290755
1408	25782	290742
1409	25800	290717
1410	25819	290709
1411	25838	290697
1412	25856	290680
1413	25876	290680
1414	25894	290656
1415	25912	290638
1416	25930	290612
1417	25948	290589
1418	25966	290568
1419	25983	290542
1420	26002	290524
1421	26019	290500
1422	26036	290463
1423	26056	290465
1424	26075	290452
1425	26094	290444
1426	26113	290427
1427	26130	290400
1428	26147	290370
1429	26164	290337
1430	26185	290349
1431	26204	290333
1432	26222	290318
1433	26241	290303
1434	26258	290270
1435	26277	290256
1436	26296	290253
1437	26314	290232
1438	26332	290204
1439	26350	290187
1440	26369	290172
1441	26388	290158
1442	26405	290134
1443	26423	290108
1444	26443	290105
1445	26460	290078
1446	26478	290060
1447	26496	290034
1448	26513	290003
1449	26530	289971
1450	26548	289946
1451	26566	289922
1452	26583	289890
1453	26602	289878
1454	26621	289869
1455	26638	289842
1456	26657	289825
1457	26677	289826
1458	26695	289805
1459	26711	289768
1460	26730	289753
1461	26747	289719
1462	26765	289695
1463	26783	289680
1464	26801	289654
1465	26818	289624
1466	26835	289590
1467	26852	289562
1468	26871	289546
1469	26888	289521
1470	26906	289499
1471	26924	289472
1472	26944	289471
1473	26961	289445
1474	26981	289442
1475	26998	289413
1476	27016	289393
1477	27034	289368
1478	27052	289348
1479	27070	289325
1480	27089	289317
1481	27108	289306
1482	27126	289280
1483	27145	289273
1484	27163	289248
1485	27184	289260
1486	27201	289225
1487	27219	289207
1488	27236	289175
1489	27254	289149
1490	27272	289128
1491	27290	289113
1492	27309	289095
1493	27326	289071
1494	27344	289049
1495	27363	289036
1496	27383	289032
1497	27403	289031
1498	27421	289013
1499	27439	288992
1500	27457	288972
1501	27476	288956
1502	27494	288937
1503	27511	288907
1504	27529	288882
1505	27547	288866
1506	27567	288861
1507	27584	288835
1508	27603	288821
1509	27620	288794
1510	27638	288768
1511	27657	288753
1512	27678	288762
1513	27695	288739
1514	27714	288726
1515	27733	288712
1516	27751	288697
1517	27770	288676
1518	27789	288673
1519	27809	288674
1520	27828	288658
1521	27846	288637
1522	27864	288619
1523	27882	288596
1524	27899	288565
1525	27917	288542
1526	27936	288531
1527	27955	288517
1528	27973	288494
1529	27991	288481
1530	28010	288470
1531	28029	288452
1532	28047	288428
1533	28065	288413
1534	28086	288417
1535	28103	288392
1536	28122	288381
1537	28142	288379
1538	28162	288378
1539	28180	288354
1540	28200	288351
1541	28217	288324
1542	28235	288298
1543	28254	288295
1544	28273	288282
1545	28291	288259
1546	28308	288229
1547	28326	288204
1548	28344	288187
1549	28363	288171
1550	28381	288150
1551	28399	288131
1552	28417	288105
1553	28435	288085
1554	28454	288079
1555	28472	288057
1556	28490	288031
1557	28506	287994
1558	28524	287972
1559	28543	287958
1560	28562	287948
1561	28580	287930
1562	28598	287904
1563	28617	287897
1564	28635	287873
1565	28654	287865
1566	28675	287869
1567	28694	287861
1568	28712	287838
1569	28731	287827
1570	28750	287816
1571	28770	287812
1572	28790	287816
1573	28810	287808
1574	28830	287809
1575	28848	287789
1576	28866	287771
1577	28885	287752
1578	28903	287739
1579	28922	287720
1580	28939	287693
1581	28958	287677
1582	28977	287668
1583	28995	287646
1584	29015	287643
1585	29033	287620
1586	29052	287611
1587	29071	287600
1588	29089	287581
1589	29108	287566
1590	29126	287550
1591	29145	287537
1592	29166	287550
1593	29185	287532
1594	29203	287515
1595	29222	287498
1596	29241	287487
1597	29258	287460
1598	29276	287439
1599	29294	287416
1600	29312	287389
1601	29330	287371
1602	29351	287381
1603	29370	287371
1604	29389	287356
1605	29407	287332
1606	29425	287310
1607	29444	287308
1608	29463	287293
1609	29481	287267
1610	29499	287245
1611	29516	287222
1612	29533	287188
1613	29552	287177
1614	29570	287149
1615	29588	287131
1616	29606	287114
1617	29623	287082
1618	29641	287060
1619	29659	287038
1620	29677	287020
1621	29695	286998
1622	29713	286975
1623	29731	286953
1624	29750	286943
1625	29769	286933
1626	29788	286918
1627	29806	286900
1628	29825	286889
1629	29844	286874
1630	29862	286849
1631	29880	286828
1632	29899	286820
1633	29918	286804
1634	29937	286791
1635	29955	286771
1636	29973	286748
1637	29993	286747
1638	30011	286733
1639	30029	286712
1640	30050	286717
1641	30068	286695
1642	30086	286673
1643	30103	286645
1644	30121	286625
1645	30139	286598
1646	30158	286586
1647	30177	286578
1648	30195	286558
1649	30213	286537
1650	30230	286507
1651	30248	286486
1652	30266	286462
1653	30283	286432
1654	30300	286402
1655	30319	286384
1656	30338	286379
1657	30358	286376
1658	30378	286372
1659	30399	286380
1660	30418	286364
1661	30437	286350
1662	30456	286343
1663	30475	286325
1664	30493	286307
